club,num_location
Auriol Kensington Rowing Club,Furnivall Sculling Club
Barn Elms Rowing Club,Thames RC
Barnes Bridge Ladies Rowing Club,Barnes Bridge Ladies Rowing Club
Unknown club,Barnes Bridge Ladies Rowing Club
Dulwich College Boat Club,Thames RC
Emmanuel Boat Club,Barnes Bridge Ladies RC
Fulham Reach Boat Club,Furnivall Sculling Club
Furnivall Sculling Club,Furnivall Sculling Club
HSBC Rowing Club,Thames RC
Imperial College Boat Club,Thames RC
Kings College School Boat Club,Thames RC
Kings College London Boat Club,Tideway Scullers School
London Rowing Club,Thames RC
Mortlake Anglian & Alpha Boat Club,Mortlake Anglian & Alpha Boat Club
Putney High School Boat Club,Thames RC
Putney Town Rowing Club,Mortlake Anglian & Alpha Boat Club
Quintin Boat Club,Mortlake Anglian & Alpha Boat Club
Sons of the Thames Rowing Club,Furnivall Sculling Club
St Pauls School Boat Club,St Pauls School Boat Club
Team Keane Sculling School,University of London
Thames Rowing Club,Thames RC
Thames Tradesmen's Rowing Club,University of London
Tideway Scullers School,Tideway Scullers School
"London, University of, Boat Club",University of London
Vesta Rowing Club,Thames RC
Westminster School Boat Club,Thames RC
Crabtree Boat Club,Thames RC
Latymer Upper School Boat Club,Furnivall Sculling Club