Seq #,Bib,Name,Tap,Time tap,Bib tap,Category,Team name,Team name 2,Time tap (time of day)
1,320,HSB,Start,1:00:16.8,,W MasC 2-,Hichens / Beresford-Knox,1247555,21:36:27.5
2,319,PTR,Start,1:00:31.6,,W MasC 2-,Peck / Adebiyi,1247232,21:36:42.2
3,315,PTR,Start,1:00:47.4,,W MasB 2-,Amin / Duggan,1248263,21:36:58.1
4,316,BBL,Start,1:01:00.5,,W MasB 2-,Steedman / Jackson,1248316,21:37:11.1
5,317,WRC,Start,1:01:11.0,,W MasB 2-,Butler / Burrows,1248692,21:37:21.7
6,318,BBL,Start,1:01:23.0,,W MasC 2-,Cahill / Saary,1248317,21:37:33.7
7,321,WYC,Start,1:01:38.3,,W J18 2x,Burton / Fullman,1247395,21:37:48.9
8,322,TSS,Start,1:01:52.3,,W J18 2x,Harvey / Metcalf,1248333,21:38:02.9
9,323,WYJ,Start,1:02:11.3,,W J18 2x,Howe / Sekinger,1248334,21:38:22.0
10,324,KGS,Start,1:02:20.9,,W J18 2x,Drewett / Coursey,1247209,21:38:31.6
11,325,WYC,Start,1:03:22.9,,W J18 2x,Martin / Etherington,1247394,21:39:33.5
12,326,WLT,Start,1:03:30.4,,W J18 2x,Barr / Jones,1247698,21:39:41.1
13,334,TKC,Start,1:03:35.8,,W J18 2x,Bell / burne,1247507,21:39:46.5
14,335,EMA,Start,1:03:35.9,,W J18 2x,Parkin / Packman,1250053,21:39:46.6
15,,,Start,1:03:54.0,,,,,21:40:04.7
16,327,WYJ,Start,1:04:08.3,,W J18 2x,Palmer / Pelly,1247392,21:40:18.9
17,328,WYC,Start,1:04:20.9,,W J18 2x,Holbrow-Brooksbank / Burt,1247396,21:40:31.6
18,329,WYC,Start,1:04:31.9,,W J18 2x,Flaxman / Lowes,1247397,21:40:42.6
19,330,MHD,Start,1:04:40.3,,W J18 2x,Pleace / Ioras,1247417,21:40:51.0
20,331,BAE,Start,1:04:50.4,,W J18 2x,Oldfield / Hymans,1247270,21:41:01.0
21,332,WLT,Start,1:05:00.9,,W J18 2x,Holloway / Hooker,1247699,21:41:11.6
22,333,TKC,Start,1:05:10.8,,W J18 2x,Bileckyj / Newall,1247506,21:41:21.5
23,99,WEY,Start,1:06:04.0,,W MasE/F 2-,Kornberg / Brady,1247191,21:42:14.6
24,98,PTR,Start,1:06:20.6,,W MasE/F 2-,McGregor-Macdonald / Mortimer,1247226,21:42:31.2
25,100,WEY,Start,1:06:31.0,,W MasE/F 2-,Morris / Eggleton,1247193,21:42:41.7
26,1,BEB,Start,1:07:17.6,,Op MasD 2x,Jahnich / Long,1247184,21:43:28.2
27,2,WAR,Start,1:07:31.2,,Op MasD 2x,Gosling / Delahaye,1247294,21:43:41.9
28,3,BEB,Start,1:07:41.3,,Op MasD 2x,McLean / Ribbens,1247189,21:43:52.0
29,53,TSS,Start,1:07:50.8,,Op MasE 2-,Height / Turner,1248077,21:44:01.5
30,54,UTC,Start,1:08:00.0,,Op MasE 2-,James / Wakeling,1248586,21:44:10.7
31,55,XPR,Start,1:08:10.7,,Op MasE 2-,Bailey / Goyder,1247384,21:44:21.4
32,152,WRC,Start,1:08:31.2,,Op 2- Club,Annan / Lewis,1248743,21:44:41.9
33,153,SON,Start,1:08:50.3,,Op 2- Club,Noel / Allan,1247733,21:45:01.0
34,154,CAB,Start,1:09:01.0,,Op 2- Club,Cumner / Norman,1247366,21:45:11.6
35,103,CNN,Start,1:09:15.5,,Op 2x Championship,Young / Wilkinson,1247225,21:45:26.1
36,104,LRC,Start,1:09:30.2,,Op 2x Championship,Curtis / Xu,1248507,21:45:40.9
37,105,RDU,Start,1:09:40.9,,Op 2x Championship,Lyon / Parrington,1247299,21:45:51.6
38,260,MAA,Start,1:09:58.8,,W 2x Intermediate,Cornish / Dadlani,1247895,21:46:09.5
39,261,MAA,Start,1:10:10.7,,W 2x Intermediate,Brooks / Bailey,1247894,21:46:21.4
40,262,TSS,Start,1:10:20.7,,W 2x Intermediate,Smart / Comerford,1248284,21:46:31.4
41,301,VRC,Start,1:10:30.4,,W 2- Championship,Lidlow / Kelly,1247183,21:46:41.1
42,302,VRC,Start,1:10:41.0,,W 2- Championship,Orrell / Cronin,1247196,21:46:51.7
43,303,PTR,Start,1:10:50.9,,W 2- Championship,Carboo / Warren,1247347,21:47:01.6
44,320,HSB,Finish,1:12:03.1,,W MasC 2-,Hichens / Beresford-Knox,1247555,21:48:13.7
45,315,PTR,Finish,1:13:11.1,,W MasB 2-,Amin / Duggan,1248263,21:49:21.8
46,316,BBL,Finish,1:13:21.1,,W MasB 2-,Steedman / Jackson,1248316,21:49:31.7
47,317,WRC,Finish,1:13:21.3,,W MasB 2-,Butler / Burrows,1248692,21:49:32.0
48,318,BBL,Finish,1:13:30.5,,W MasC 2-,Cahill / Saary,1248317,21:49:41.2
49,319,PTR,Finish,1:13:33.6,,W MasC 2-,Peck / Adebiyi,1247232,21:49:44.3
50,321,WYC,Finish,1:13:59.4,,W J18 2x,Burton / Fullman,1247395,21:50:10.1
51,322,TSS,Finish,1:14:01.3,,W J18 2x,Harvey / Metcalf,1248333,21:50:11.9
52,324,KGS,Finish,1:14:02.0,,W J18 2x,Drewett / Coursey,1247209,21:50:12.6
53,325,WYC,Finish,1:14:02.4,,W J18 2x,Martin / Etherington,1247394,21:50:13.1
54,328,WYC,Finish,1:14:02.9,,W J18 2x,Holbrow-Brooksbank / Burt,1247396,21:50:13.6
55,327,WYJ,Finish,1:14:03.3,,W J18 2x,Palmer / Pelly,1247392,21:50:14.0
56,326,WLT,Finish,1:14:03.6,,W J18 2x,Barr / Jones,1247698,21:50:14.3
57,330,MHD,Finish,1:14:04.0,,W J18 2x,Pleace / Ioras,1247417,21:50:14.7
58,329,WYC,Finish,1:14:04.4,,W J18 2x,Flaxman / Lowes,1247397,21:50:15.1
59,331,BAE,Finish,1:14:04.9,,W J18 2x,Oldfield / Hymans,1247270,21:50:15.5
60,332,WLT,Finish,1:14:05.2,,W J18 2x,Holloway / Hooker,1247699,21:50:15.9
61,333,TKC,Finish,1:14:05.6,,W J18 2x,Bileckyj / Newall,1247506,21:50:16.3
62,334,TKC,Finish,1:14:05.9,,W J18 2x,Bell / burne,1247507,21:50:16.6
63,335,EMA,Finish,1:14:06.2,,W J18 2x,Parkin / Packman,1250053,21:50:16.9
64,323,WYJ,Finish,1:14:06.6,,W J18 2x,Howe / Sekinger,1248334,21:50:17.3
65,152,WRC,Finish,1:17:24.6,,Op 2- Club,Annan / Lewis,1248743,21:53:35.3
66,153,SON,Finish,1:17:25.3,,Op 2- Club,Noel / Allan,1247733,21:53:36.0
67,154,CAB,Finish,1:17:30.5,,Op 2- Club,Cumner / Norman,1247366,21:53:41.1
68,53,TSS,Finish,1:19:21.7,,Op MasE 2-,Height / Turner,1248077,21:55:32.3
69,54,UTC,Finish,1:19:24.5,,Op MasE 2-,James / Wakeling,1248586,21:55:35.1
70,55,XPR,Finish,1:19:25.7,,Op MasE 2-,Bailey / Goyder,1247384,21:55:36.4
71,2,WAR,Finish,1:19:30.0,,Op MasD 2x,Gosling / Delahaye,1247294,21:55:40.7
72,3,BEB,Finish,1:19:30.6,,Op MasD 2x,McLean / Ribbens,1247189,21:55:41.2
73,1,BEB,Finish,1:19:31.0,,Op MasD 2x,Jahnich / Long,1247184,21:55:41.7
74,99,WEY,Finish,1:19:37.0,,W MasE/F 2-,Kornberg / Brady,1247191,21:55:47.7
75,98,PTR,Finish,1:19:37.9,,W MasE/F 2-,McGregor-Macdonald / Mortimer,1247226,21:55:48.6
76,100,WEY,Finish,1:19:38.4,,W MasE/F 2-,Morris / Eggleton,1247193,21:55:49.1
77,103,CNN,Finish,1:20:25.3,,Op 2x Championship,Young / Wilkinson,1247225,21:56:35.9
78,105,RDU,Finish,1:20:27.6,,Op 2x Championship,Lyon / Parrington,1247299,21:56:38.2
79,104,LRC,Finish,1:20:28.0,,Op 2x Championship,Curtis / Xu,1248507,21:56:38.7
80,262,TSS,Finish,1:23:20.6,,W 2x Intermediate,Smart / Comerford,1248284,21:59:31.2
81,261,MAA,Finish,1:23:21.4,,W 2x Intermediate,Brooks / Bailey,1247894,21:59:32.1
82,260,MAA,Finish,1:23:21.8,,W 2x Intermediate,Cornish / Dadlani,1247895,21:59:32.4
83,301,VRC,Finish,1:23:26.5,,W 2- Championship,Lidlow / Kelly,1247183,21:59:37.1
84,302,VRC,Finish,1:23:26.8,,W 2- Championship,Orrell / Cronin,1247196,21:59:37.5
85,303,PTR,Finish,1:23:28.8,,W 2- Championship,Carboo / Warren,1247347,21:59:39.4